State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Punjab,Hoshiarpur,Tanda Urmur,Tomato,Other,FAQ,07/04/2024,2000,2500.0,2200
Punjab,Mohali,Kurali,Apple,Apple,Medium,07/04/2024,7000,8000.0,7500
Punjab,Mohali,Kurali,Capsicum,Other,FAQ,07/04/2024,3800,4500.0,4000
Punjab,Mohali,Kurali,Garlic,Other,FAQ,07/04/2024,11000,12000.0,11500
Punjab,Mohali,Kurali,Ginger(Dry),Other,FAQ,07/04/2024,14000,15000.0,14500
Punjab,Mohali,Kurali,Potato,Other,FAQ,07/04/2024,1200,1300.0,1250
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Green Chilli,Other,FAQ,07/04/2024,5980,6000.0,5990
Punjab,Ropar (Rupnagar),Chamkaur Sahib,Papaya,Other,Medium,07/04/2024,2980,3000.0,2990
Punjab,Tarntaran,Tarantaran,Brinjal,Other,FAQ,07/04/2024,2000,2500.0,2400
Rajasthan,Churu,Sujangarh(Churu),Tomato,Other,FAQ,07/04/2024,2000,2200.0,2100
Rajasthan,Ganganagar,Sriganganagar(F&V),Bhindi(Ladies Finger),Other,FAQ,07/04/2024,3500,3900.0,3700
Rajasthan,Ganganagar,Sriganganagar(F&V),Chikoos(Sapota),Other,Medium,07/04/2024,3600,4000.0,3800
Rajasthan,Ganganagar,Sriganganagar(F&V),Mousambi(Sweet Lime),Mosambi-Organic,Medium,07/04/2024,3400,3800.0,3600
Rajasthan,Ganganagar,Sriganganagar(F&V),Onion,Other,FAQ,07/04/2024,1200,1600.0,1400
Rajasthan,Jalore,Jalore,Cabbage,Other,FAQ,07/04/2024,1200,1500.0,1300
Rajasthan,Tonk,Malpura,Bengal Gram(Gram)(Whole),Other,FAQ,07/04/2024,5100,5390.0,5250
Rajasthan,Udaipur,Udaipur(F&V),Banana,Other,Medium,07/04/2024,1200,2000.0,1800
Rajasthan,Udaipur,Udaipur(F&V),Cabbage,Other,FAQ,07/04/2024,1000,2000.0,1700
Rajasthan,Udaipur,Udaipur(F&V),Cauliflower,Other,FAQ,07/04/2024,2000,3000.0,2700
Rajasthan,Udaipur,Udaipur(F&V),Papaya,Other,Medium,07/04/2024,1500,2500.0,2200
Rajasthan,Udaipur,Udaipur(F&V),Tomato,Other,FAQ,07/04/2024,600,1200.0,1000
Rajasthan,Udaipur,Udaipur(F&V),Water Melon,Other,Medium,07/04/2024,800,1200.0,1000
Telangana,Nalgonda,Venkateswarnagar,Carrot,Carrot,FAQ,07/04/2024,3000,3500.0,3200
Telangana,Nalgonda,Venkateswarnagar,Cluster beans,Cluster Beans,FAQ,07/04/2024,1600,2000.0,1800
Telangana,Nalgonda,Venkateswarnagar,Drumstick,Drumstick,FAQ,07/04/2024,1200,2000.0,1500
Telangana,Nalgonda,Venkateswarnagar,Paddy(Dhan)(Common),1001,FAQ,07/04/2024,2203,2203.0,2203
Telangana,Nalgonda,Venkateswarnagar,Potato,Local,FAQ,07/04/2024,2000,2500.0,2200
Tripura,Khowai,Teliamura,Brinjal,Round/Long,FAQ,07/04/2024,3200,3500.0,3300
Tripura,Khowai,Teliamura,Cucumbar(Kheera),Cucumbar,FAQ,07/04/2024,4500,4800.0,4600
Tripura,Khowai,Teliamura,Rice,Masuri,FAQ,07/04/2024,3700,3900.0,3800
Tripura,South District,Barpathari,Bitter gourd,Bitter Gourd,FAQ,07/04/2024,3900,4100.0,4000
Uttar Pradesh,Ambedkarnagar,Tanda,Onion,Red,FAQ,07/04/2024,1750,1835.0,1785
Uttar Pradesh,Badaun,Shahaswan,Cauliflower,Cauliflower,FAQ,07/04/2024,1400,1600.0,1500
Uttar Pradesh,Badaun,Shahaswan,Grapes,Annabesahai,Medium,07/04/2024,4200,4600.0,4500
Uttar Pradesh,Badaun,Shahaswan,Potato,Potato,FAQ,07/04/2024,1000,1200.0,1100
Uttar Pradesh,Baghpat,Baraut,Potato,Chips,FAQ,07/04/2024,1100,1200.0,1150
Uttar Pradesh,Baghpat,Baraut,Pumpkin,Pumpkin,FAQ,07/04/2024,700,800.0,750
Uttar Pradesh,Bareilly,Anwala,Bottle gourd,Bottle Gourd,FAQ,07/04/2024,1000,1400.0,1200
Uttar Pradesh,Bareilly,Anwala,Brinjal,Brinjal,FAQ,07/04/2024,800,1200.0,1000
Uttar Pradesh,Bareilly,Anwala,Green Chilli,Green Chilly,FAQ,07/04/2024,3000,3500.0,3200
